男歌手,#geren#
陈少华,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/chenshaohua.m3u8
马嘉祺,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/majiaqi.m3u8
东来东往,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/donglaidongwang.m3u8
韩安旭,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/hananxu.m3u8
黄安,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/huangan.m3u8
凌丰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lingfeng.m3u8
冷凡,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lengfan.m3u8
韦礼安,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/weilian.m3u8
王北车,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wangbeiche.m3u8
承利,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/chengli.m3u8
光头华夏,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/guangtouhuaxia.m3u8
杨青,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yangqing.m3u8
吴小迷,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/wuxiaomi.m3u8
费翔,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/feixiang.m3u8
云南烟嗓子,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yunnanyansangzi.m3u8
威仔,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/weizai.m3u8
lker林柯,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lkerlinke.m3u8
p.w.w.画风风,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/p.w.w.huafengfeng.m3u8
宋晓峰,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/songxiaofeng.m3u8
慢热的气球,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/manredeqiqiu.m3u8
林峯,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/linfeng.m3u8
13c,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/13c.m3u8
